,content_id,title,type,release_year,date_added,age_rating,duration_min,seasons,primary_genre,country,language,imdb_rating,user_rating,is_original,views_30d,completion_rate_pct,likes,content_age,release_decade,is_kids_friendly,duration_bucket,engagement_score
44,45,Title 45,TV Show,1982,2020-02-04,PG-13,112.0,5.0,Adventure,Canada,English,7.0,4.6,0,1585982,35.4,108643,43,1980,0,1.5-2.5 hours,0.3794979542193741
45,46,Title 46,TV Show,1980,2017-06-25,TV-Y7,0.0,5.0,Thriller,United States,Spanish,8.3,3.5,0,1370971,88.1,1795862,45,1980,1,N/A,0.5580462155270927
46,47,Title 47,TV Show,2015,2015-10-19,R,0.0,4.0,Mystery,United Kingdom,Korean,5.1,3.5,1,1161932,61.0,601120,10,2010,0,N/A,0.41829027929826806
47,48,Title 48,Movie,2004,2016-07-29,G,139.0,8.0,Adventure,United Kingdom,English,6.7,3.5,1,3461901,66.6,1910831,21,2000,1,1.5-2.5 hours,0.7856865780380895
48,49,Title 49,TV Show,2016,2018-10-29,G,69.0,5.0,Drama,Spain,Spanish,7.3,4.2,1,3788412,54.2,1698444,9,2010,1,1-1.5 hours,0.7850633627242475
49,50,Title 50,TV Show,1980,2016-11-25,PG-13,120.0,5.0,Horror,France,Korean,4.9,4.6,1,119049,42.5,1049182,45,1980,0,1.5-2.5 hours,0.18785739910784754
50,51,Title 51,Movie,1994,2023-03-05,PG,143.0,7.0,Action,United Kingdom,English,8.3,3.9,0,1789923,38.7,1559004,31,1990,1,> 2.5 hours,0.42328918834526796
51,52,Title 52,TV Show,2016,2023-06-09,PG-13,69.0,5.0,Drama,Germany,German,5.6,3.8,1,2188290,64.2,128967,9,2010,0,1-1.5 hours,0.5850444026721073
52,53,Title 53,Movie,1992,2022-04-05,TV-MA,107.0,0.0,Drama,Spain,Japanese,5.2,4.9,0,3178326,55.3,1109581,33,1990,0,1.5-2.5 hours,0.6979502110630803
53,54,Title 54,TV Show,2019,2022-03-23,TV-PG,139.0,3.0,Romance,South Korea,French,7.1,3.2,1,2395111,50.2,1222985,6,2010,1,1.5-2.5 hours,0.5600676379860045
54,55,Title 55,Movie,1987,2019-11-19,R,118.0,0.0,Crime,United States,French,6.3,4.0,0,3528338,72.1,31102,38,1980,0,1.5-2.5 hours,0.8176521554434274
55,56,Title 56,TV Show,1984,2019-08-29,TV-PG,140.0,5.0,Comedy,India,French,9.1,3.8,0,3069333,50.3,73673,41,1980,1,1.5-2.5 hours,0.6616012161033443
56,57,Title 57,TV Show,1988,2022-02-22,PG-13,0.0,3.0,Horror,Australia,German,8.8,3.2,1,3987632,22.8,297362,37,1980,0,N/A,0.6893464449027236
57,58,Title 58,Movie,1980,2017-02-01,PG,99.0,0.0,Sci-Fi,Japan,Japanese,6.7,3.5,0,2579844,83.0,849256,45,1980,1,1-1.5 hours,0.7189776641885766
58,59,Title 59,Movie,2015,2018-09-26,PG,132.0,0.0,Sci-Fi,Spain,Spanish,6.0,3.1,0,270833,43.9,1578752,10,2010,1,1.5-2.5 hours,0.21622506171891973
59,60,Title 60,Movie,2014,2017-04-22,TV-14,118.0,4.0,Thriller,United Kingdom,Japanese,5.8,4.8,1,2816240,91.0,1499375,11,2010,0,1.5-2.5 hours,0.7864371617021947
60,61,Title 61,Movie,1981,2021-10-13,TV-14,63.0,0.0,Horror,Japan,Hindi,5.5,4.2,0,3176876,86.0,393823,44,1980,0,1-1.5 hours,0.8205327104649538
61,62,Title 62,Movie,2019,2017-06-26,R,149.0,0.0,Mystery,South Korea,English,7.0,4.6,0,3613158,37.5,136208,6,2010,0,> 2.5 hours,0.6919751904317737
62,63,Title 63,Movie,2002,2019-03-06,R,118.0,0.0,Thriller,Canada,Spanish,8.4,4.0,0,752009,92.4,815367,23,2000,0,1.5-2.5 hours,0.4824016602045656
63,64,Title 64,Movie,1988,2022-02-11,R,130.0,7.0,Thriller,Australia,Hindi,5.7,4.2,1,259091,84.0,616317,37,1980,0,1.5-2.5 hours,0.3748637568753314
64,65,Title 65,Movie,2013,2020-11-21,G,118.0,0.0,Drama,France,French,5.0,4.4,0,85297,93.9,1815890,12,2010,1,1.5-2.5 hours,0.3883945851851093
65,66,Title 66,TV Show,1993,2022-01-02,TV-14,70.0,4.0,Horror,India,French,6.6,4.8,0,797727,70.8,469483,32,1990,0,1-1.5 hours,0.40285937906329244
66,67,Title 67,TV Show,1983,2016-05-28,G,0.0,5.0,Comedy,Canada,French,4.4,3.2,1,2615031,89.8,55269,42,1980,1,N/A,0.751455728703254
67,68,Title 68,Movie,2009,2016-05-25,TV-PG,118.0,0.0,Thriller,South Korea,Hindi,7.9,3.7,1,2072702,71.8,1004275,16,2000,1,1.5-2.5 hours,0.5981061549919262
68,69,Title 69,TV Show,2010,2017-03-24,PG-13,0.0,7.0,Crime,United Kingdom,English,6.9,4.4,1,3061882,84.1,1670477,15,2010,0,N/A,0.7956835630297983
69,70,Title 70,TV Show,2017,2015-01-30,TV-Y7,66.0,5.0,Adventure,Germany,English,6.7,4.9,0,1713932,65.8,411975,8,2010,1,1-1.5 hours,0.5202905069988942
70,71,Title 71,TV Show,1990,2018-12-12,TV-14,151.0,5.0,Mystery,United States,Hindi,5.7,5.0,0,3525881,89.7,1823480,35,1990,0,> 2.5 hours,0.8876836044299121
71,72,Title 72,TV Show,2014,2018-02-24,TV-Y7,0.0,4.0,Mystery,Canada,Korean,9.0,4.3,1,149389,58.9,113860,11,2010,1,N/A,0.258008411623132
72,73,Title 73,Movie,1987,2022-12-20,PG,167.0,4.0,Thriller,Canada,French,4.5,3.4,1,2514962,75.2,426704,38,1980,1,> 2.5 hours,0.678045337424678
73,74,Title 74,TV Show,1982,2022-08-06,TV-14,0.0,5.0,Crime,India,Spanish,8.8,3.2,1,1496454,88.8,1249863,43,1980,0,N/A,0.5796687172889725
74,75,Title 75,Movie,1993,2015-10-10,TV-PG,168.0,0.0,Adventure,United States,English,6.1,4.9,0,1986746,51.7,1068125,32,1990,1,> 2.5 hours,0.5048127195349787
75,76,Title 76,TV Show,1992,2019-06-22,TV-14,0.0,7.0,Action,South Korea,Japanese,8.8,3.9,0,221568,22.0,1809596,33,1990,0,N/A,0.12123529139705136
76,77,Title 77,TV Show,2024,2019-02-17,G,124.0,5.0,Romance,Japan,Hindi,8.0,3.4,1,2543033,28.5,1743454,1,2020,1,1.5-2.5 hours,0.4954559990039972
77,78,Title 78,TV Show,2011,2022-11-09,PG-13,0.0,5.0,Romance,Japan,Korean,4.6,4.9,1,126720,92.9,254369,14,2010,0,N/A,0.3906080522721438
78,79,Title 79,Movie,2013,2021-01-03,TV-Y,118.0,7.0,Romance,United States,German,8.6,3.2,0,3155869,85.5,1780543,12,2010,1,1.5-2.5 hours,0.8153816517995425
79,80,Title 80,TV Show,2024,2016-04-27,PG-13,0.0,7.0,Drama,France,Hindi,7.8,4.5,0,1013446,56.3,329269,1,2020,0,N/A,0.3772173180476246
80,81,Title 81,Movie,1998,2020-02-24,PG-13,118.0,0.0,Mystery,Spain,Japanese,4.2,4.3,1,2666224,92.1,1524773,27,1990,0,1.5-2.5 hours,0.7683346998204245
81,82,Title 82,TV Show,2017,2018-11-16,PG,81.0,7.0,Sci-Fi,France,Korean,4.7,3.2,0,2024555,33.9,1948383,8,2010,1,1-1.5 hours,0.43928408513123407
82,83,Title 83,Movie,1995,2016-12-12,TV-PG,118.0,4.0,Sci-Fi,France,German,7.5,3.7,1,3946376,28.3,721882,30,1990,1,1.5-2.5 hours,0.7051580278845766
83,84,Title 84,TV Show,1981,2017-12-20,TV-Y7,178.0,5.0,Drama,Canada,Korean,7.6,3.3,1,2407928,65.1,176086,44,1980,1,> 2.5 hours,0.6215901932730314
84,85,Title 85,Movie,2019,2016-02-11,TV-PG,118.0,0.0,Thriller,Canada,English,8.1,4.2,0,2970823,48.7,1429592,6,2010,1,1.5-2.5 hours,0.6404246754678575
85,86,Title 86,Movie,1996,2019-01-03,TV-Y,118.0,5.0,Horror,Australia,Hindi,8.0,4.0,0,3611847,45.5,781968,29,1990,1,1.5-2.5 hours,0.7237785398909847
86,87,Title 87,TV Show,2013,2017-10-19,PG,147.0,1.0,Horror,United Kingdom,Japanese,7.6,3.0,0,3125790,75.1,1826489,12,2010,1,> 2.5 hours,0.7692697893919208
87,88,Title 88,Movie,2021,2023-07-11,PG-13,118.0,2.0,Romance,South Korea,German,8.2,5.0,1,2387539,31.3,360076,4,2020,0,1.5-2.5 hours,0.48333183486254594
88,89,Title 89,TV Show,1995,2016-01-23,G,148.0,6.0,Horror,South Korea,Korean,7.2,3.7,1,1771107,78.4,1099659,30,1990,1,> 2.5 hours,0.5792667805836467
89,90,Title 90,TV Show,2017,2015-09-25,PG,0.0,5.0,Thriller,Australia,German,5.4,3.5,1,3994820,47.0,720855,8,2010,1,N/A,0.7872246478677816
90,91,Title 91,TV Show,1981,2016-05-12,R,0.0,6.0,Action,Canada,Spanish,9.0,3.4,1,1156776,94.0,1648474,44,1980,0,N/A,0.5495168771714122
91,92,Title 92,TV Show,1981,2016-02-19,TV-14,136.0,5.0,Drama,India,Japanese,4.1,3.3,1,2583026,80.7,405204,44,1980,0,1.5-2.5 hours,0.7102549655011552
92,93,Title 93,TV Show,2005,2015-05-15,TV-PG,0.0,5.0,Action,India,Hindi,6.0,5.0,1,179267,68.5,903084,20,2000,1,N/A,0.30089012394784087
93,94,Title 94,TV Show,1992,2017-06-03,PG,62.0,5.0,Mystery,United Kingdom,English,8.0,3.6,1,73289,37.2,1252245,33,1990,1,1-1.5 hours,0.15979338023179565
94,95,Title 95,TV Show,2010,2020-01-23,R,0.0,2.0,Horror,United States,German,6.3,3.8,0,1237636,91.7,377735,15,2010,0,N/A,0.5524459105262539
95,96,Title 96,TV Show,2013,2015-12-01,TV-Y7,163.0,1.0,Adventure,Canada,French,4.1,4.7,1,1400694,22.5,1127195,12,2010,1,> 2.5 hours,0.3001046777878639
96,97,Title 97,TV Show,2018,2017-02-22,TV-Y,159.0,5.0,Romance,Japan,Korean,4.4,4.3,1,3096708,36.8,1930746,7,2010,1,> 2.5 hours,0.6117074773955629
97,98,Title 98,TV Show,1982,2020-03-04,TV-Y,75.0,5.0,Drama,Japan,French,7.6,3.7,1,3157448,22.8,1369654,43,1980,1,1-1.5 hours,0.5648185024508817
98,99,Title 99,TV Show,1987,2015-07-16,PG-13,91.0,1.0,Romance,Canada,German,9.3,4.8,1,3820453,92.5,1840854,38,1980,0,1-1.5 hours,0.9430695259411963
99,100,Title 100,Movie,2002,2017-05-05,PG-13,115.0,0.0,Horror,Germany,Japanese,7.0,4.5,0,1143730,85.4,1013115,23,2000,0,1.5-2.5 hours,0.5131599717899225
100,101,Title 101,Movie,1993,2023-07-22,PG,118.0,0.0,Comedy,United States,French,6.8,3.5,0,3984581,91.4,579227,32,1990,1,1.5-2.5 hours,0.9632887936441825
101,102,Title 102,TV Show,2006,2020-03-17,PG,0.0,5.0,Horror,Japan,Korean,5.8,4.3,1,3255877,73.6,941360,19,2000,1,N/A,0.7827828930529559
102,103,Title 103,TV Show,2008,2016-08-03,TV-14,175.0,1.0,Drama,Spain,German,5.4,4.8,0,3438910,22.1,1047431,17,2000,0,> 2.5 hours,0.604237918554276
103,104,Title 104,TV Show,2018,2023-05-03,TV-MA,0.0,2.0,Sci-Fi,France,English,4.1,4.0,1,2478763,89.9,1238543,7,2010,0,N/A,0.7314154724925493
104,105,Title 105,TV Show,2018,2022-04-17,TV-Y7,167.0,2.0,Drama,Canada,English,5.5,4.5,1,3398361,51.6,1509218,7,2010,1,> 2.5 hours,0.7161555518277676
105,106,Title 106,TV Show,1980,2022-06-22,PG-13,0.0,8.0,Crime,Germany,Hindi,6.5,4.9,1,3446815,47.6,1760243,45,1980,0,N/A,0.7074236718150975
106,107,Title 107,TV Show,1996,2018-07-10,TV-MA,175.0,5.0,Adventure,Spain,English,5.1,4.4,1,746944,41.3,1880841,29,1990,0,> 2.5 hours,0.27724190811524735
107,108,Title 108,TV Show,2020,2018-03-11,TV-MA,0.0,6.0,Horror,France,German,4.5,3.2,1,2697616,41.5,17954,5,2020,0,N/A,0.5706435127696601
108,109,Title 109,TV Show,2009,2022-06-18,TV-14,0.0,5.0,Crime,France,Japanese,7.9,3.5,1,2007888,80.0,176073,16,2000,0,N/A,0.6211840282560778
109,110,Title 110,Movie,1992,2022-03-19,G,118.0,0.0,Sci-Fi,United Kingdom,German,8.9,4.2,1,1670404,39.2,482916,33,1990,1,1.5-2.5 hours,0.40736128904354485
110,111,Title 111,TV Show,2000,2017-03-22,G,0.0,5.0,Thriller,United States,English,9.2,3.6,0,2110973,36.7,582626,25,2000,1,N/A,0.4634468207787572
111,112,Title 112,Movie,1998,2018-05-24,PG-13,90.0,0.0,Thriller,Canada,Spanish,7.4,4.9,1,2061385,72.4,1494536,27,1990,0,1-1.5 hours,0.5988086003236509
112,113,Title 113,TV Show,1998,2015-05-23,R,124.0,5.0,Adventure,Germany,German,4.3,3.8,0,1004777,41.6,1304207,27,1990,0,1.5-2.5 hours,0.31711696447165233
113,114,Title 114,TV Show,2004,2015-07-08,TV-14,60.0,2.0,Mystery,Australia,Hindi,8.1,3.9,1,1842737,21.0,519994,21,2000,0,1-1.5 hours,0.3604113101311029
114,115,Title 115,Movie,2001,2018-11-25,TV-14,118.0,0.0,Adventure,United Kingdom,Spanish,4.6,4.4,0,3764843,89.9,736524,24,2000,0,1.5-2.5 hours,0.9243280030020082
115,116,Title 116,TV Show,2010,2015-08-08,TV-PG,0.0,4.0,Adventure,India,English,7.7,4.0,0,1570723,43.5,1881944,15,2010,1,N/A,0.4096090979250193
116,117,Title 117,Movie,1996,2023-02-22,TV-MA,101.0,0.0,Adventure,Spain,Japanese,8.3,3.8,1,931129,77.3,1668796,29,1990,0,1.5-2.5 hours,0.4488697340917688
117,118,Title 118,TV Show,2002,2022-10-19,TV-PG,97.0,5.0,Adventure,Australia,Korean,8.0,3.2,1,3587134,55.2,1568357,23,2000,1,1-1.5 hours,0.7588715796968442
118,119,Title 119,TV Show,2011,2023-11-12,TV-MA,69.0,5.0,Adventure,Spain,German,9.2,4.2,0,1142506,30.1,1114914,14,2010,0,1-1.5 hours,0.29177637128502104
119,120,Title 120,Movie,1989,2023-05-11,G,118.0,0.0,Action,Canada,Korean,8.1,4.7,0,3173739,69.6,540596,36,1980,1,1.5-2.5 hours,0.7544621591709377
120,121,Title 121,TV Show,1989,2015-10-20,PG-13,0.0,5.0,Sci-Fi,Germany,French,7.8,4.4,1,2792651,37.4,700442,36,1980,0,N/A,0.5684988019717054
121,122,Title 122,Movie,2015,2015-01-19,TV-Y7,90.0,4.0,Drama,Germany,Hindi,5.4,3.8,1,1951342,41.6,216263,10,2010,1,1-1.5 hours,0.4591021049307886
122,123,Title 123,TV Show,1987,2018-02-22,G,133.0,5.0,Horror,France,Spanish,9.1,3.3,0,1091326,22.4,1211279,38,1980,1,1.5-2.5 hours,0.253299350173213
123,124,Title 124,Movie,1999,2016-06-29,TV-14,86.0,0.0,Crime,Australia,Korean,5.0,4.6,1,970966,21.2,1504936,26,1990,0,1-1.5 hours,0.23044530052457646
124,125,Title 125,Movie,2011,2017-04-30,TV-Y7,118.0,0.0,Adventure,Germany,Hindi,9.0,4.9,0,3301527,58.5,1454706,14,2010,1,1.5-2.5 hours,0.7292304118836326
125,126,Title 126,TV Show,1993,2015-04-16,PG,0.0,5.0,Mystery,Japan,Korean,5.7,3.8,0,1997103,24.3,644308,32,1990,1,N/A,0.39676627380725293
126,127,Title 127,TV Show,2007,2015-05-10,TV-Y7,0.0,2.0,Romance,Spain,Korean,4.7,4.5,1,1194778,35.7,513084,18,2000,1,N/A,0.32201719284728036
127,128,Title 128,Movie,2003,2023-03-03,TV-Y7,118.0,1.0,Horror,France,Hindi,8.5,3.8,0,3246207,89.3,576589,22,2000,1,1.5-2.5 hours,0.84413238906407
128,129,Title 129,TV Show,1994,2022-07-10,G,120.0,5.0,Romance,Canada,German,4.0,4.0,0,3989609,26.2,1144430,31,1990,1,1.5-2.5 hours,0.7032429957182382
129,130,Title 130,TV Show,2001,2018-03-31,TV-14,115.0,5.0,Crime,Germany,Korean,8.6,4.7,1,1549830,41.8,1126813,24,2000,0,1.5-2.5 hours,0.3996751393066331
130,131,Title 131,TV Show,2009,2023-06-30,TV-Y7,117.0,7.0,Crime,South Korea,Hindi,5.4,3.2,1,1028264,74.5,997084,16,2000,1,1.5-2.5 hours,0.4522400241600664
131,132,Title 132,Movie,1983,2021-04-22,G,118.0,0.0,Horror,Canada,Korean,8.9,4.1,0,1405910,86.3,976689,42,1980,1,1.5-2.5 hours,0.5560870799394698
132,133,Title 133,Movie,1992,2019-04-17,G,176.0,0.0,Mystery,Australia,Japanese,7.8,3.4,1,211235,23.5,372593,33,1990,1,> 2.5 hours,0.1256853371346771
133,134,Title 134,Movie,2002,2023-09-15,TV-Y7,118.0,0.0,Action,Japan,German,7.7,3.7,1,1326264,33.9,465889,23,2000,1,1.5-2.5 hours,0.33454014708540447
134,135,Title 135,Movie,1987,2021-02-06,TV-MA,98.0,0.0,Thriller,United States,Japanese,6.0,4.3,0,3964296,49.1,327755,38,1980,0,1-1.5 hours,0.791046035276597
135,136,Title 136,Movie,1997,2022-12-13,TV-14,118.0,7.0,Crime,India,Japanese,4.3,3.1,1,2850754,47.1,1131599,28,1990,0,1.5-2.5 hours,0.6160142759392588
136,137,Title 137,Movie,1991,2023-09-18,TV-Y,118.0,5.0,Mystery,South Korea,Hindi,8.6,4.2,1,3228681,41.6,743893,34,1990,1,1.5-2.5 hours,0.650703481834575
137,138,Title 138,Movie,2010,2016-12-31,TV-Y7,131.0,6.0,Crime,France,Japanese,4.9,3.6,1,1844525,38.2,1303746,15,2010,1,1.5-2.5 hours,0.4294795108686549
138,139,Title 139,Movie,1993,2017-09-18,TV-PG,93.0,8.0,Comedy,Spain,Korean,6.0,4.3,1,89799,40.1,1707023,32,1990,1,1-1.5 hours,0.1738698870421894
139,140,Title 140,Movie,2013,2020-08-14,TV-PG,118.0,0.0,Thriller,Australia,English,7.3,3.3,1,324432,30.0,1899833,12,2010,1,1.5-2.5 hours,0.168664933828568
140,141,Title 141,TV Show,1997,2015-02-09,PG,0.0,3.0,Crime,Australia,German,6.7,4.5,0,1519265,32.2,1894564,28,1990,1,N/A,0.35669037669853587
141,142,Title 142,Movie,2013,2023-03-23,TV-14,118.0,6.0,Mystery,United States,Korean,5.1,4.3,1,3616535,65.5,1227127,12,2010,0,1.5-2.5 hours,0.80448174182479
142,143,Title 143,TV Show,1990,2023-08-23,G,179.0,5.0,Crime,South Korea,Spanish,4.8,4.9,0,2645356,41.9,44692,35,1990,1,> 2.5 hours,0.5644044912123508
143,144,Title 144,TV Show,2020,2015-11-03,PG-13,0.0,5.0,Romance,Spain,Hindi,4.7,4.8,1,1782327,50.0,659025,5,2020,0,N/A,0.46734978521190934
144,145,Title 145,TV Show,1991,2018-05-25,R,0.0,8.0,Horror,India,Korean,8.7,3.6,1,59877,50.9,99541,34,1990,0,N/A,0.21258157469933042
145,146,Title 146,Movie,1994,2015-02-19,TV-14,179.0,0.0,Horror,United Kingdom,German,4.2,3.1,1,2107183,28.2,912001,31,1990,0,> 2.5 hours,0.42887831921537783
